,체결시각,체결가,전일비,매도,매수,거래량,변동량
0,15:58,"58,800",400,400,"58,900","58,800","17,894,851"
1,15:57,"58,800",400,400,"58,900","58,800","17,894,684"
2,15:56,"58,800",400,400,"58,900","58,800","17,892,566"
3,15:55,"58,800",400,400,"58,900","58,800","17,892,544"
4,15:54,"58,800",400,400,"58,900","58,800","17,891,478"
5,15:53,"58,800",400,400,"58,900","58,800","17,890,915"
6,15:52,"58,800",400,400,"58,900","58,800","17,890,871"
7,15:51,"58,800",400,400,"58,900","58,800","17,890,867"
8,15:50,"58,800",400,400,"58,900","58,800","17,890,761"
9,15:49,"58,800",400,400,"58,900","58,800","17,890,739"
